time_sec,thumb_deg,index_deg,middle_deg,ring_deg,pinky_deg
0.0,171.14848397293886,174.92033027282204,174.1733813204636,177.06112934573147,176.11241545240262
0.1450798511505127,171.308822539907,174.96714825972367,174.2044992085911,176.91855346578834,176.22727955270994
0.21951508522033691,171.51092506794907,175.01274534330284,174.14223760423582,176.89603284048673,176.08696952692813
0.2729530334472656,171.37949631701548,175.09145138027404,174.2632041668022,177.21496230028106,175.96925315063777
0.33829593658447266,171.41424583097498,175.2286527101677,174.27313261433912,177.1007679069561,176.05579582864164
0.408336877822876,171.47816824097194,175.0909397473359,174.16173605054055,177.01916768108174,176.19872568768514
0.4654273986816406,171.52914918186218,175.11764633673417,174.18704953877014,177.09378047469335,176.17624742067417
0.5345766544342041,171.08822921882336,174.994345965274,174.05718709094432,177.08637097662867,176.0743020084007
0.6065070629119873,171.27022563013563,175.18432296241338,174.21890333714532,176.9610728613399,176.30817527352593
0.6639406681060791,171.38554928271728,174.95947749453123,174.0494484442043,176.7645194028037,175.977362864664
0.7301747798919678,171.49313477933381,175.13502174356884,174.1053794408512,176.9150340032085,176.00965857547317
0.786339282989502,170.98003102578522,175.31897755851486,174.19165191972468,177.09383737286657,176.03865399722798
0.851905345916748,171.06341193779463,175.27503260556392,174.16998612903413,177.04317121155847,176.19043659586055
0.9158108234405518,171.21859863647094,175.20483271605306,174.0856826924151,176.97650113170258,176.12496997801406
0.979149580001831,170.66825615372747,173.7604196366678,172.98336496641133,177.05992125040973,172.64024020800275
1.0554823875427246,169.8208445859509,172.24703678605317,171.7902052465302,176.26033686809413,167.71886961351015
1.123567819595337,168.40762062951816,170.30997090915187,170.01770529035207,175.09151472570616,165.6887418572516
1.1878409385681152,168.8209950347128,167.17630054212077,168.69362765304655,173.5130213573626,164.47641673889942
1.2455799579620361,169.136828811516,167.15056564551074,167.71873688740257,173.90172650761494,166.16717745150876
1.3159599304199219,171.33468733028207,165.13332368367438,158.96869374262297,166.47503564185078,156.77904781203392
1.3800954818725586,172.59564570378146,121.35060755589242,55.21899799016855,34.89741742549701,42.063983040085475
1.4381732940673828,172.3662074707144,133.1642120994174,66.01106993416974,40.09714173029695,45.33864553283697
1.4980156421661377,171.45320885606301,53.59719423521239,35.365234237086455,19.675407670196563,26.193064863130942
1.5635836124420166,171.3799930695053,53.58459166082708,36.36768283967779,21.156474679138686,26.755310904951223
1.6235320568084717,168.5293030114008,45.21425482837375,36.24374670208718,25.560936825819432,17.152991089166672
1.692429780960083,166.98451483994134,43.291763362191396,37.176821170078526,26.690197683614088,20.676006419929983
1.7517802715301514,165.13239009806205,39.8956267593104,36.846632162769204,27.92834741264875,22.45027246534894
1.8179278373718262,165.13221491005945,39.6650972700303,36.35168114648311,27.03427206841712,21.849046809887433
1.8779447078704834,164.12128786021646,40.94559420743649,39.03208500838087,29.919927735003956,24.406926978335697
1.9335136413574219,164.42680410330172,42.082836777648055,39.58871521905199,31.715337442133706,26.82307309477948
1.9979944229125977,163.23942237026264,42.81723174374724,42.55258756319916,33.39604754748364,28.300085176389285
2.0659613609313965,165.4298882992851,46.627380501977115,47.4543726647753,39.194561361203505,37.35848303118685
2.1273539066314697,166.69073237240602,49.57928448999062,51.88900671424724,45.567024292598525,43.52595187008074
2.183361530303955,166.66709321649725,49.65679990298889,52.196376775526886,46.88082171124639,45.8097755403782
2.249534845352173,167.8596941422379,62.55060814056871,69.71023850425775,60.91207801606157,62.40111955619615
2.3090200424194336,167.14585737001008,63.025033668423085,67.17155673780381,61.30234357098233,68.44333750682003
2.385852098464966,168.27611528808242,66.90478525745137,72.53054830954638,67.8235496701309,79.82662985844176
2.4348487854003906,168.78879838517778,69.85247267058013,77.23088716147365,72.4358395052551,86.41714675123484
2.489043951034546,168.82742103269828,68.09237706241802,73.0428750143064,68.124415490647,80.12083468740738
2.555955648422241,166.42762508814246,53.544667768769976,55.38366664109239,47.60142914187426,55.02465995791684
2.6161983013153076,162.7999346079447,45.37792546213248,45.966217158175745,37.91066406906471,39.26493863121639
2.6783251762390137,161.30963490452297,41.787133085425175,41.0013638261263,31.430476649558695,26.39125406513351
2.7419400215148926,163.8132403692934,42.229401048497195,38.72101788227231,27.85071072369301,23.658876724946484
2.802441358566284,163.97059635821827,41.4491852981184,37.59196359943588,26.818407548929233,22.0409276765117
2.860801935195923,166.0461206245847,54.40388091765304,40.51502723788996,25.9540259828809,22.251515762461253
2.923649787902832,166.8968157150726,116.97090378304006,40.500784634844194,23.33122428303893,28.560421678899512
2.9862120151519775,170.5224431625233,124.7903735634982,48.43494443789063,27.95538506749427,29.29829148154562
3.053361415863037,169.52384585101007,159.57225596119667,126.3316114632446,51.51651315449369,50.2227754470478
3.113375663757324,168.97949592794083,162.8005371771107,164.7892478735665,166.89119894736612,50.86900656559003
3.1778206825256348,168.9372069152004,163.40726204544282,164.84951819162006,167.85049939412676,77.82956826191194
3.2365708351135254,170.4668989072242,166.89436336354103,165.88101193317104,167.50445830854315,155.0486171823836
3.3064754009246826,169.19665517973198,166.2304730841253,165.31041427232577,168.30338928241918,158.4855278172791
3.365004539489746,171.16601996150982,170.41006057042884,169.94477009957345,172.4825748862038,169.5765167408651
3.426542282104492,172.87363938446555,174.06139464983755,173.83155176214314,174.72688905951915,173.56600413761603
3.4972243309020996,172.82855819796612,173.46644532170876,173.53165709156235,176.7820200571508,174.75846950470864
3.5578510761260986,174.25456177353675,174.1204507916244,174.15800673345768,176.76379035901718,174.91016217394463
